Name,Variant,Caller,CallerVariant,Count,Depth:Average,Depth:SecondMoment,Depth:Variance,Depth:Sum,Depth:Min,Depth:Max,StartTimeDifference:Average,StartTimeDifference:SecondMoment,StartTimeDifference:Variance,StartTimeDifference:Sum,StartTimeDifference:Min,StartTimeDifference:Max,Width:Average,Width:SecondMoment,Width:Variance,Width:Sum,Width:Min,Width:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,Microsoft.Quantum.Canon.ApplyIfCA,Body,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Canon.ApplyIfCA,Body,Microsoft.Quantum.Canon.ApplyToEachCA,Body,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyToEachCA,Body,Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,Shor.EstimatePeriodInstance,Body,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Diagnostics.AssertMeasurementProbability,Body,Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,Microsoft.Quantum.Characterization.QuantumPhaseEstimation,Body,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
