Name,Variant,Caller,CallerVariant,Count,CNOT:Average,CNOT:SecondMoment,CNOT:Variance,CNOT:Sum,CNOT:Min,CNOT:Max,QubitClifford:Average,QubitClifford:SecondMoment,QubitClifford:Variance,QubitClifford:Sum,QubitClifford:Min,QubitClifford:Max,R:Average,R:SecondMoment,R:Variance,R:Sum,R:Min,R:Max,Measure:Average,Measure:SecondMoment,Measure:Variance,Measure:Sum,Measure:Min,Measure:Max,T:Average,T:SecondMoment,T:Variance,T:Sum,T:Min,T:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,37,0,0,0,0,0,0,1,1,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,37,0,0,0,0,0,0,1,1,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,Microsoft.Quantum.Canon.ApplyIfCA,Body,1,0,0,NaN,0,0,0,1,1,NaN,1,1,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Canon.ApplyIfCA,Body,Microsoft.Quantum.Canon.ApplyToEachCA,Body,4,0,0,0,0,0,0,0.25,0.25,0.25000000000000006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyToEachCA,Body,Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,1,0,0,NaN,0,0,0,1,1,NaN,1,1,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,Shor.EstimatePeriodInstance,Body,1,0,0,NaN,0,0,0,1,1,NaN,1,1,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Diagnostics.AssertMeasurementProbability,Body,Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,Microsoft.Quantum.Characterization.QuantumPhaseEstimation,Body,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,5729,0,0,0,0,0,0,1,1,0,5729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H,Body,819,0,0,0,0,0,0,1,1,0,819,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H,Body,Microsoft.Quantum.Canon.ApplyToEachCA,Body,9,0,0,0,0,0,0,1,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyToEachCA,Body,Microsoft.Quantum.Characterization.QuantumPhaseEstimation,Body,1,0,0,NaN,0,0,0,9,81,NaN,9,9,9,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H,Body,Microsoft.Quantum.Canon.ApproximateQFT,Body,810,0,0,0,0,0,0,1,1,0,810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_RFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac,Body,29680,0,0,0,0,0,0,0.002425876010781666,0.002425876010781671,0.0024200726751987564,72,0,1,0.13372641509434002,0.13372641509433963,0.11584756422017455,3969,0,1,0,0,0,0,0,0,0.863847708894877,0.8638477088948787,0.11761880762977868,25639,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,29500,0,0,0,0,0,0,0,0,0,0,0,0,0.13210169491525495,0.13210169491525423,0.11465472371657653,3897,0,1,0,0,0,0,0,0,0.8678983050847463,0.8678983050847457,0.11465472371657652,25603,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,5782,0,0,0,0,0,0,0,0,0,0,0,0,0.44932549290902796,0.449325492909028,0.24747489524690203,2598,0,1,0,0,0,0,0,0,0.5506745070909722,0.550674507090972,0.24747489524690197,3184,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_CX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Body,39834,1,1,0,39834,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,30628,1,1,0,30628,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,15314,0,0,0,0,0,0,0,0,0,0,0,0,0.08482434373775638,0.0848243437377563,0.07763424394205284,1299,0,1,0,0,0,0,0,0,0.9151756562622402,0.9151756562622437,0.07763424394205287,14015,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,2891,2,4,0,5782,2,2,0,0,0,0,0,0,0.449325492909027,0.449325492909028,0.24751771097272465,1299,0,1,0,0,0,0,0,0,0.5506745070909718,0.550674507090972,0.2475177109727246,1592,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1Frac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp,Body,1800,6.039999999999985,77.02,40.56093385214008,10872,1,16,1.2000000000000022,4.72,3.2818232351306293,2160,0,4,0.9299999999999997,2.79,1.9261700944969464,1674,0,3,0,0,0,0,0,0,3.750000000000001,26.91,12.854641467481956,6750,0,9
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1Frac,Controlled,2340,10.023076923076927,191.24615384615385,90.82289604367412,23454,1,36,2.07692307692307,9.907692307692308,5.596474496004202,4860,0,8,0.8192307692307693,2.457692307692308,1.78731706514947,1917,0,3,0,0,0,0,0,0,6.56538461538461,81.75,38.66224717992571,15363,0,23
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1Frac,Controlled,Microsoft.Quantum.Canon.ApproximateQFT,Body,1620,6.200000000000004,79.6,41.18542310067934,10044,2,16,1.200000000000003,4.8,3.362075355157509,1944,0,4,0.9,2.7,1.8911673872760977,1458,0,3,0,0,0,0,0,0,3.9000000000000017,27.9,12.697838171710934,6318,0,9
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,4622,0,0,0,0,0,0,1,1,0,4622,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCminusIX,Body,1213,0,0,0,0,0,0,1,1,0,1213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
