Name,Variant,Caller,CallerVariant,Count,InputWidth:Average,InputWidth:SecondMoment,InputWidth:Variance,InputWidth:Sum,InputWidth:Min,InputWidth:Max,ExtraWidth:Average,ExtraWidth:SecondMoment,ExtraWidth:Variance,ExtraWidth:Sum,ExtraWidth:Min,ExtraWidth:Max,ReturnWidth:Average,ReturnWidth:SecondMoment,ReturnWidth:Variance,ReturnWidth:Sum,ReturnWidth:Min,ReturnWidth:Max,BorrowedWidth:Average,BorrowedWidth:SecondMoment,BorrowedWidth:Variance,BorrowedWidth:Sum,BorrowedWidth:Min,BorrowedWidth:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,37,1,1,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,37,1,1,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X,Body,Microsoft.Quantum.Canon.ApplyIfCA,Body,1,1,1,NaN,1,1,1,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Canon.ApplyIfCA,Body,Microsoft.Quantum.Canon.ApplyToEachCA,Body,4,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Canon.ApplyToEachCA,Body,Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,1,4,16,NaN,4,4,4,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Arithmetic.ApplyXorInPlace,Body,Shor.EstimatePeriodInstance,Body,1,4,16,NaN,4,4,4,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Diagnostics.AssertMeasurementProbability,Body,Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,9,1,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertQubitWithinTolerance,Body,Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,9,1,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Diagnostics.AssertAllZeroWithinTolerance,Body,Microsoft.Quantum.Characterization.QuantumPhaseEstimation,Body,1,9,81,NaN,9,9,9,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH,Body,5729,1,1,0,5729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
